votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,total_area,pop_density,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_young,age_adult,age_old,ethnic_male,ethnic_female
3771,0.034,1.0381419359326534,1.248945139179512,0.084,0.01689664883,0.021367521370000003,-0.2912134078170666,0.43308661716894287,-0.15054802217393437,0.962654487,0.010209565,0.009537883,0.0,0.00779151,0.005065824829999999,0,Crook County,WY,Educated,MAINLINE CHRISTIAN,0.312869426,0.342960774,0.28210639499999995,MULTI MALE RATE,NATIVE AMERICAN FEMALE RATE
28696,0.054000000000000006,-0.7160398496836042,-0.7329385192429511,0.217,0.08228680022000001,0.14413982179999998,-0.09794283899167619,-0.10642321732321781,-0.10289085885488766,0.779101071,0.185052964,0.005618306,0.000848598,0.009554047,0.00419851349,0,Columbia County,FL,Uneducated,MAINLINE CHRISTIAN,0.310294375,0.37575349599999996,0.25620354700000003,BLACK MALE RATE,BLACK FEMALE RATE
2299,0.038,1.1238791519237952,-0.16831479179256528,0.114,0.03911310414,0.04207245812,-0.2886683546674999,-0.10684406202228437,-0.14625771793353357,0.950152118,0.015211795,0.017084016,0.000234028,0.005031594,0.00269014744,0,Yoakum County,TX,Uneducated,NON-CATHOLIC CHRISTIAN,0.435642407,0.351158438,0.187222092,NATIVE AMERICAN MALE RATE,BLACK FEMALE RATE
434970,0.057999999999999996,-0.34713005435816985,0.09812305909191313,0.22,0.09308557753,0.1396348477,2.716336008321452,-0.004947366003575749,2.124182881503436,0.651079892,0.270853629,0.009529776,0.000429137,0.01262771,0.00454165296,1,Milwaukee County,WI,Educated,MAINLINE CHRISTIAN,0.348481573,0.412636063,0.20223026100000002,BLACK MALE RATE,BLACK FEMALE RATE
8474,0.063,-0.7515087654600747,-1.0209509953142568,0.244,0.07836065574000001,0.09128630705000002,-0.24325066623835961,-0.2462377593335992,-0.10300681302354714,0.868674645,0.099950697,0.00331675,0.000448209,0.008874546,0.0037981264799999996,0,Franklin County,GA,Uneducated,PENTECOSTAL / CHARISMATIC,0.310026445,0.36179463,0.26121644,BLACK MALE RATE,BLACK FEMALE RATE
17428,0.049,0.44922564904267814,0.47559129813299117,0.11800000000000001,0.043470493660000005,0.07472197926,-0.20437785695138408,-0.19041440906487156,-0.1105438339864134,0.979633994,0.004655087,0.002531204,0.000290943,0.004015013,0.00507055366,0,Effingham County,IL,Educated,MAINLINE CHRISTIAN,0.321055542,0.371330482,0.256378924,MULTI MALE RATE,BLACK FEMALE RATE
11842,0.033,-0.09917835642428872,0.7116843509904685,0.136,0.06287336356,0.0360915493,-0.23681449539655325,-0.106689839430701,-0.134546346898926,0.935554034,0.010351633,0.023804729,0.000886132,0.010996093,0.00476980706,0,Lawrence County,SD,Educated,CATHOLIC,0.30704475,0.338905225,0.290329077,NATIVE AMERICAN MALE RATE,NATIVE AMERICAN FEMALE RATE
13440,0.052000000000000005,-0.5026476081473097,-0.5005289389783468,0.171,0.07345078447,0.1124631741,-0.1958698337968651,-0.21723868423146098,-0.09477406704872399,0.918130612,0.04843567,0.009229825,0.000362501,0.009369249,0.00374769951,0,Miami County,IN,Uneducated,OTHER CHRISTIAN,0.29725057200000005,0.402989237,0.238581228,BLACK MALE RATE,BLACK FEMALE RATE
35747,0.063,-0.702067246498934,-0.8183600027062433,0.188,0.08454792490000002,0.1361838712,-0.048391037845965816,-0.19190435613610096,-0.0498998037775048,0.920430081,0.050770726,0.005732774,0.000799636,0.007295139,0.00439762816,0,Caldwell County,NC,Uneducated,MAINLINE CHRISTIAN,0.284289,0.38413276399999996,0.263264728,BLACK MALE RATE,BLACK FEMALE RATE
5699,0.081,-1.0857764262625693,-0.9493863849384392,0.262,0.10439599969999999,0.145377129,-0.2672016626496718,-0.14444562100409966,-0.13889462822365653,0.560584663,0.417102104,0.004307301,0.000141223,0.005790143,0.00402414913,0,Screven County,GA,Uneducated,MAINLINE CHRISTIAN,0.316551334,0.36668549699999997,0.260273973,BLACK MALE RATE,BLACK FEMALE RATE
6209,0.044000000000000004,0.4667534116175307,-0.045883178943739784,0.11800000000000001,0.03897626932,0.052557616640000006,-0.2663927450028874,-0.225841168111138,-0.12637157800843257,0.981180095,0.004353359,0.002344116,0.00013395,0.005291005,0.00415846226,0,Moultrie County,IL,Uneducated,MAINLINE CHRISTIAN,0.32255039900000004,0.354832229,0.265353962,MULTI MALE RATE,BLACK FEMALE RATE
91002,0.052000000000000005,0.6701415999861028,0.259845046264717,0.122,0.05444811669,0.06938900829,0.2552951911140202,-0.22061851153514445,0.13330778270447532,0.764959698,0.175750399,0.006957644,0.000899564,0.009539444,0.0046249784,0,Cabarrus County,NC,Educated,NON-CATHOLIC CHRISTIAN,0.340660291,0.41377400100000006,0.196608084,BLACK MALE RATE,BLACK FEMALE RATE
